angle,V1,V2,V3,V4
14-13-9-4,-0.9479278402412744,6.068399902863646,-1.134511534848933,0.43380371334828416
14-13-9-11,-1.1662763496364583,6.278589508630791,-1.2505026571133424,0.4048394741375776
17-13-9-4,-1.2888928424688038,6.366120262212037,-1.2970996446659813,0.426051405039356
17-13-9-11,-0.9479278402412744,6.068399902863646,-1.134511534848933,0.43380371334828416
